PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,MIN,GP,USG_PCT,AST_PCT,TS_PCT,OFF_RATING,DEF_RATING,PIE,3P_Attempt_Rate,PICK__ROLL_BALL_HANDLER_FREQ,PICK__ROLL_BALL_HANDLER_PPP,ISOLATION_FREQ,ISOLATION_PPP,HANDOFF_FREQ,HANDOFF_PPP,OFF_SCREEN_FREQ,OFF_SCREEN_PPP,CUT_FREQ,CUT_PPP,PUTBACK_FREQ,PUTBACK_PPP,POST_UP_FREQ,POST_UP_PPP,PICK__ROLL_ROLL_MAN_FREQ,PICK__ROLL_ROLL_MAN_PPP,SPOT_UP_FREQ,SPOT_UP_PPP,TRANSITION_FREQ,TRANSITION_PPP
1630551,Justin Champagnie,WAS,21.6,62,0.15,0.066,0.614,107.1,116.8,0.101,0.4695863746958637,0.062,0.839,0.0,0.0,0.034,0.882,0.036,1.0,0.088,1.318,0.139,1.116,0.0,0.0,0.02,1.6,0.311,1.174,0.255,1.063
1642348,Justin Edwards,PHI,26.2,44,0.165,0.084,0.559,111.6,123.2,0.062,0.5026455026455027,0.107,1.167,0.065,0.345,0.047,0.714,0.027,0.667,0.045,1.3,0.056,0.92,0.0,0.0,0.0,0.0,0.385,1.046,0.194,1.172
1631303,Justin Minaya,POR,5.3,19,0.107,0.108,0.411,95.0,101.9,0.02,0.4761904761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203994,Jusuf Nurkić,CHA,20.8,51,0.202,0.167,0.555,106.1,115.1,0.116,0.2982954545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.116,0.087,0.864,0.295,1.0,0.249,0.889,0.154,1.154,0.047,0.667
1630231,KJ Martin,UTA,21.2,43,0.112,0.074,0.618,109.3,117.4,0.061,0.2885572139303483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,1.481,0.104,1.231,0.0,0.0,0.096,1.333,0.208,1.192,0.296,1.216
1642354,KJ Simpson,CHA,23.4,36,0.188,0.21,0.437,101.0,116.4,0.06,0.4318936877076412,0.32,0.653,0.063,0.75,0.071,0.963,0.0,0.0,0.0,0.0,0.053,0.9,0.0,0.0,0.0,0.0,0.246,0.806,0.135,0.922
1630539,Kai Jones,DAL,11.7,40,0.128,0.08,0.804,107.0,109.2,0.131,0.0458715596330275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294,1.467
1626157,Karl-Anthony Towns,NYK,35.0,72,0.265,0.13,0.63,119.4,112.7,0.161,0.2781893004115226,0.031,0.75,0.108,0.853,0.021,1.061,0.036,1.054,0.059,1.376,0.108,1.302,0.135,1.0,0.126,1.253,0.177,1.251,0.141,1.207
1631255,Karlo Matković,NOP,18.8,42,0.155,0.083,0.639,109.4,114.1,0.096,0.2808510638297872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,1.429,0.13,1.211,0.034,0.8,0.208,1.18,0.174,0.922,0.14,1.317
202695,Kawhi Leonard,LAC,31.9,37,0.28,0.147,0.589,120.3,107.9,0.134,0.304975922953451,0.214,0.931,0.164,0.787,0.02,1.2,0.055,0.78,0.04,1.5,0.027,1.15,0.071,1.151,0.0,0.0,0.16,1.412,0.208,1.174
