Team,Team_Playstyle,Lineup_Name,Minutes,Plus_Minus,Current_OFF_Archetypes,Current_DEF_Archetypes,Rec_Add_OFF,Rec_Add_DEF
GSW,3-Point Heavy,S. Curry - D. Green - M. Moody - B. Podziemski,268.741667,97.0,"Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition, Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up","Guards SF (), High Steals, Versatile, Disruptor, High Steals, Versatile, Disruptor, High High Difficulty, Versatile, Steals","Elite Iso, Elite Usage, High Playmaking, Elite Cutter, Elite Roll Man, Post Up","Versatile, Guards PG (High Disruptor), Anchor Big / Rim Protector"
GSW,3-Point Heavy,S. Curry - J. Butler III - M. Moody - B. Podziemski,216.085,90.0,"Elite P&R Handler, High Playmaking, High Usage, Elite Iso, Elite Usage, High Playmaking, Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up","Guards SF (), High Steals, Versatile, Disruptor, High Steals, Versatile, Disruptor, High High Difficulty, Versatile, Steals","Elite Cutter, Elite Roll Man, Post Up, High Spot Up, Transition","Versatile, Guards PG (High Disruptor), Anchor Big / Rim Protector"
GSW,3-Point Heavy,J. Butler III - D. Green - B. Podziemski - Q. Post,182.938333,85.0,"Elite Iso, Elite Usage, High Playmaking, High Spot Up, Transition, P&R Handler, Transition, Spot Up, High Spot Up, Transition","High Steals, Versatile, Disruptor, High Steals, Versatile, Disruptor, High High Difficulty, Versatile, Steals, Guards C (High Rebounding)","Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up","Versatile, Guards PG (High Disruptor), Anchor Big / Rim Protector"
UTA,Iso/Heliocentric + Glass Crashers,J. Collins - C. Sexton - W. Kessler - K. George,262.273333,51.0,"Elite Post Up, High Roll Man, High Usage, Elite P&R Handler, High Playmaking, High Usage, Elite Cutter, Elite Roll Man, Post Up, Elite P&R Handler, High Playmaking, High Usage","Versatile, Guards SF (), Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals","P&R Handler, Transition, Spot Up, High Spot Up, Transition","Guards C (High Rebounding), High High Difficulty, Versatile, Steals"
UTA,Iso/Heliocentric + Glass Crashers,L. Markkanen - J. Collins - C. Sexton - W. Kessler,259.671667,43.0,"Elite Off-Screen, Spot Up, Transition, Elite Post Up, High Roll Man, High Usage, Elite P&R Handler, High Playmaking, High Usage, Elite Cutter, Elite Roll Man, Post Up","Versatile, Versatile, Guards SF (), Anchor Big / Rim Protector","Elite P&R Handler, High Playmaking, High Usage, P&R Handler, Transition, Spot Up, High Spot Up, Transition","Guards C (High Rebounding), High High Difficulty, Versatile, Steals"
UTA,Iso/Heliocentric + Glass Crashers,L. Markkanen - J. Collins - W. Kessler - I. Collier,101.475,28.0,"Elite Off-Screen, Spot Up, Transition, Elite Post Up, High Roll Man, High Usage, Elite Cutter, Elite Roll Man, Post Up, Elite P&R Handler, High Playmaking, High Usage","Versatile, Versatile, Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals","Elite P&R Handler, High Playmaking, High Usage, P&R Handler, Transition, Spot Up, High Spot Up, Transition","Guards C (High Rebounding), High High Difficulty, Versatile, Steals, Guards SF ()"
UTA,Iso/Heliocentric + Glass Crashers,J. Collins - C. Sexton - W. Kessler - I. Collier,60.83,25.0,"Elite Post Up, High Roll Man, High Usage, Elite P&R Handler, High Playmaking, High Usage, Elite Cutter, Elite Roll Man, Post Up, Elite P&R Handler, High Playmaking, High Usage","Versatile, Guards SF (), Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals","P&R Handler, Transition, Spot Up, High Spot Up, Transition","Guards C (High Rebounding), High High Difficulty, Versatile, Steals"
UTA,Iso/Heliocentric + Glass Crashers,L. Markkanen - J. Collins - W. Kessler - K. George,269.753333,21.0,"Elite Off-Screen, Spot Up, Transition, Elite Post Up, High Roll Man, High Usage, Elite Cutter, Elite Roll Man, Post Up, Elite P&R Handler, High Playmaking, High Usage","Versatile, Versatile, Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals","Elite P&R Handler, High Playmaking, High Usage, P&R Handler, Transition, Spot Up, High Spot Up, Transition","Guards C (High Rebounding), High High Difficulty, Versatile, Steals, Guards SF ()"
TOR,High Pace + Rim/Midrange Focus + Transition Heavy,J. Poeltl - R. Barrett - D. Mitchell - S. Barnes,204.56,45.0,"Elite Cutter, Elite Roll Man, Post Up, Elite P&R Handler, High Playmaking, High Usage, P&R Handler, Transition, Spot Up, Elite Iso, Elite Usage, High Playmaking","Anchor Big / Rim Protector, Versatile, High High Difficulty, Versatile, Steals, High Steals, Versatile, Disruptor","Elite Off-Screen, Spot Up, Transition, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition",Guards SF ()
TOR,High Pace + Rim/Midrange Focus + Transition Heavy,J. Poeltl - R. Barrett - O. Agbaji - S. Barnes,195.861667,39.0,"Elite Cutter, Elite Roll Man, Post Up, Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition, Elite Iso, Elite Usage, High Playmaking","Anchor Big / Rim Protector, Versatile, High High Difficulty, Versatile, Steals, High Steals, Versatile, Disruptor","Elite Off-Screen, Spot Up, Transition, Elite Post Up, High Roll Man, High Usage",Guards SF ()
