Player,Baseline_AAV,Type,Prev Team,Live_AAV_2026-01-04
N'Faly Dante,2786226.448159243,RFA / Early Bird,ATL,2702677.808408023
Nick Richards,4168131.1641874113,UFA / Bird,PHX,448377.02601273195
Nick Smith Jr.,530756.1234288737,RFA / Two-Way,LAL,3530817.215702055
Nicolas Batum,4174359.98791077,CLUB / $5.9M,LAC,2433547.151065394
Norman Powell,30839272.835041,UFA / Bird,MIA,16204875.94464574
Ochai Agbaji,5896696.494944755,RFA / Bird,TOR,2225045.359195475
Olivier-Maxence Prosper,-1110138.246014492,RFA / Two-Way,MEM,1198412.65579403
Orlando Robinson,3024804.272031708,UFA / Non-Bird,ORL,2472430.5401204554
Oscar Tshiebwe,3557872.494792973,RFA / Two-Way,UTA,2840595.184565928
Ousmane Dieng,2461924.4058080893,RFA / Bird,OKC,2830908.8894850016
Pat Connaughton,2686576.783079779,UFA / Bird,CHA,2276202.952550849
Pat Spencer,-197420.79368417055,RFA / Two-Way,GSW,3505814.277160874
Pelle Larsson,1963958.1295778065,CLUB / $2.3M,MIA,6046897.283468743
Pete Nance,1912716.2363411048,RFA / Two-Way,MIL,2310280.6975111933
Peyton Watson,7366233.076475991,RFA / Bird,DEN,10913253.924336074
Precious Achiuwa,4289471.762280604,UFA / Non-Bird,SAC,1564397.8252584005
Quentin Grimes,13209406.457697691,UFA / Bird,PHI,10115523.135269152
Quenton Jackson,3052617.7257570727,RFA / Two-Way,IND,3725340.909252739
Quinten Post,6295386.408713335,RFA / Early Bird,GSW,7128140.62142626
RayJ Dennis,2910830.369148578,RFA / Two-Way,ATL,1469948.8422745282
Rayan Rupert,-2012816.5701331208,RFA / Bird,POR,296140.9382205813
Robert Williams III,3284630.9236671696,UFA / Bird,POR,2440268.3222403433
Ron Harper Jr.,2658686.0416907324,UFA / Two-Way,BOS,2700475.9573618714
Rui Hachimura,16438972.112468272,UFA / Bird,LAL,7233167.085503997
Russell Westbrook,17659915.615721624,UFA / Non-Bird,SAC,5832404.071808859
Sandro Mamukelashvili,3380465.2734468225,PLAYER / $2.8M,TOR,8124875.507497455
Seth Curry,637246.3286213991,UFA / Non-Bird,GSW,3145129.5894899354
Sidy Cissoko,970845.6745981288,RFA / Two-Way,WAS,2659535.482555494
Simone Fontecchio,4029827.826269613,UFA / Bird,MIA,5282391.33670993
Spencer Jones,66739.58799511802,RFA / Two-Way,DEN,5074885.235601051
Tari Eason,14962537.14765564,RFA / Bird,HOU,6880170.399848575
Taurean Prince,7920847.333557354,PLAYER / $3.8M,MIL,3328382.547513746
Terry Rozier,7740384.990530365,UFA / Bird,MIA,
Thomas Bryant,4077952.273149543,UFA / Non-Bird,CLE,1949194.301836189
Tim Hardaway Jr.,12490608.45566422,UFA / Non-Bird,DEN,10056239.269705584
Tobias Harris,21195690.13674371,UFA / Early Bird,DET,7324586.706273089
Tony Bradley,3383323.9537875024,UFA / Early Bird,IND,-8493.51762680264
Tosan Evbuomwan,4215739.900320175,RFA / Two-Way,NYK,2324616.763185059
Trae Young,38155799.00505996,PLAYER / $49.0M,ATL,5101372.811010609
Trayce Jackson-Davis,4135635.573503624,CLUB / $2.4M,GSW,2051988.1408631315
Trendon Watford,6394210.242325726,CLUB / $2.8M,PHI,4400854.727957695
Trentyn Flowers,2060128.4194050329,RFA / Two-Way,CHI,2353126.2911028615
Trey Alexander,-45830.61759897655,RFA / Two-Way,NOP,2972932.246280151
Tristan Vukcevic,3292108.9674174446,RFA / Two-Way,WAS,679073.3959684676
Tyrese Martin,2254828.124899067,RFA / Early Bird,BKN,1683415.1825802634
Tyson Etienne,1693712.2989989822,RFA / Two-Way,BKN,2345576.101858042
Tyus Jones,11146425.06184984,UFA / Non-Bird,ORL,-177905.94134266983
Walker Kessler,6542879.782780704,RFA / Bird,UTA,4313735.250853197
Wendell Moore Jr.,-746141.2792374988,RFA / Two-Way,DET,3492726.114416915
Xavier Tillman,-671406.0454350983,UFA / Bird,BOS,1908944.9550375638
Zach Collins,4394076.940287633,UFA / Bird,CHI,4197801.458782527
Zach LaVine,30769370.19703965,PLAYER / $49.0M,SAC,5711421.309810903
Ziaire Williams,2880935.331170335,CLUB / $6.3M,BKN,1911805.2785900435
