Player,Baseline_AAV,Type,Prev Team,Live_AAV_2026-01-04,Live_AAV_2026-01-05
Jamal Shead,1810904.5153069953,CLUB / $2.3M,TOR,6194287.987383362,6293030.548505853
Jamal Shead,1810904.5153069953,RFA / Bird,TOR,6194287.987383362,6293030.548505853
Jamal Shead,1810904.5153069953,RFA / Bird,TOR,6194287.987383362,6293030.548505853
Jamaree Bouyea,2651224.5987734385,RFA / Two-Way,PHX,4434319.503240555,4170772.961299691
James Harden,43323302.073400185,PLAYER / $42.3M,LAC,17946200.77696928,17789308.056228206
James Wiseman,,,,,2570022.5381551418
Jamir Watkins,,,,,1204394.5699701994
Jamison Battle,,,,,2991082.1753861075
Jarace Walker,,,,,1363470.4527640792
Jared McCain,,,,,4476331.61842466
Jaren Jackson Jr.,,,,,10316863.466904437
Jarred Vanderbilt,,,,,2275356.4306680704
Jarrett Allen,,,,,9920646.34680062
Jase Richardson,,,,,3114393.4728024546
Javon Small,,,,,2555029.2239565146
Javonte Cooke,,,,,2129727.241934462
Javonte Green,-1538093.2780096247,UFA / Non-Bird,DET,5083568.501314152,5239580.728677306
Jaxson Hayes,7261717.513616856,UFA / Bird,LAL,2691569.161075002,2606579.723585715
Jay Huff,,,,,2267459.9585788604
Jaylen Brown,,,,,22273659.360743735
Jaylen Clark,2415700.0101665147,RFA / Bird,MIN,2586441.5246562124,2920268.9641919397
Jaylen Wells,,,,,7756037.8923605615
Jaylin Williams,,,,,6901917.416368615
Jaylon Tyson,,,,,8773503.542240651
Jeff Green,1891034.1889431032,UFA / Bird,HOU,636474.8757555543,636474.8757555543
Jerami Grant,,,,,9270456.40558797
Jeremiah Fears,,,,,4648301.804000843
Jeremiah Robinson-Earl,,,,,1208072.398455251
Jeremy Sochan,9158008.041387549,RFA / Bird,SAS,1256336.1780302103,1256336.1780302105
Jericho Sims,-187253.27568451877,PLAYER / $2.8M,MIL,-1590516.037714589,-1596172.7485451964
Jett Howard,-592640.1185537477,UFA / Bird,ORL,2073546.299902779,1946075.3934329047
Jevon Carter,2388112.309695186,UFA / Bird,CHI,1655822.4065524333,1655822.4065524333
Jimmy Butler III,,,,,15571096.340919333
Joan Beringer,,,,,2002333.0377674152
Jock Landale,1874894.0027854757,UFA / Non-Bird,MEM,5943947.623555503,6040992.801431922
Joe Ingles,1006875.8714334002,UFA / Early Bird,MIN,2153123.961885596,1926109.446173481
Joel Embiid,,,,,9532613.840870185
John Collins,15017674.919779118,UFA / Bird,LAC,7876786.143582946,7972778.370223625
John Konchar,,,,,2337297.3414840237
Johni Broome,,,,,1508334.365099464
Johnny Furphy,,,,,1123669.06462895
Johnny Juzang,270102.0637838067,UFA / Two-Way,MIN,2088653.0052171457,1875639.5082886964
Jonas Valančiūnas,,,,,4148961.573156259
Jonathan Isaac,,,,,1037174.8382656954
Jonathan Kuminga,13236330.24988504,CLUB / $24.3M,GSW,4410200.896281318,4410200.896281318
Jonathan Mogbo,218753.5412166787,CLUB / $2.3M,TOR,1693843.0949826364,1693843.0949826364
Jordan Clarkson,7450154.673240143,UFA / Non-Bird,NYK,7286685.645522526,7228552.050357858
Jordan Goodwin,3026887.414894128,UFA / Early Bird,PHX,6427021.861199263,7025497.686357395
Jordan Hawkins,,,,,632070.6793896417
Jordan McLaughlin,541271.2448387374,UFA / Early Bird,SAS,1767389.437515319,1767389.437515319
Jordan Miller,316189.7593703801,RFA / Two-Way,LAC,1938167.1910635664,1706812.1541724207
Jordan Poole,,,,,5572347.4626882225
Jordan Walsh,-1116917.4435317034,CLUB / $2.4M,BOS,4957140.920473929,5658395.944565574
