SNAPSHOT_TIME,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,Offensive Archetype,Defensive Archetype,Off_Cluster,Def_Cluster,USG_PCT,AST_PCT,DEF_RATING
2026-01-13 17:52,1642367,Jonathan Mogbo,TOR,Off_Cluster_0,Def_Cluster_2,0,2,0.087,0.153,110.1
2026-01-13 17:52,203903,Jordan Clarkson,NYK,Off_Cluster_2,Def_Cluster_2,2,2,0.207,0.1,113.9
2026-01-13 17:52,1630692,Jordan Goodwin,PHX,Off_Cluster_1,Def_Cluster_2,1,2,0.191,0.147,108.5
2026-01-13 17:52,1641722,Jordan Hawkins,NOP,Off_Cluster_2,Def_Cluster_2,2,2,0.167,0.072,116.4
2026-01-13 17:52,1629162,Jordan McLaughlin,SAS,Off_Cluster_0,Def_Cluster_2,0,2,0.15,0.181,116.3
2026-01-13 17:52,1641757,Jordan Miller,LAC,Off_Cluster_1,Def_Cluster_2,1,2,0.179,0.127,112.4
2026-01-13 17:52,1629673,Jordan Poole,NOP,Off_Cluster_4,Def_Cluster_2,4,2,0.238,0.186,118.6
2026-01-13 17:52,1641775,Jordan Walsh,BOS,Off_Cluster_1,Def_Cluster_3,1,3,0.114,0.058,116.3
2026-01-13 17:52,1630631,Jose Alvarado,NOP,Off_Cluster_4,Def_Cluster_2,4,2,0.155,0.207,112.5
2026-01-13 17:52,1630581,Josh Giddey,CHI,Off_Cluster_4,Def_Cluster_3,4,3,0.251,0.399,114.8
2026-01-13 17:52,1630182,Josh Green,CHA,Off_Cluster_1,Def_Cluster_2,1,2,0.113,0.081,112.0
2026-01-13 17:52,1628404,Josh Hart,NYK,Off_Cluster_1,Def_Cluster_3,1,3,0.169,0.221,115.7
2026-01-13 17:52,1631169,Josh Minott,BOS,Off_Cluster_1,Def_Cluster_2,1,2,0.133,0.085,112.4
2026-01-13 17:52,1629006,Josh Okogie,HOU,Off_Cluster_1,Def_Cluster_2,1,2,0.126,0.064,111.3
